CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD
8351001,RIO MALLECO EN COLLIPULLI,9,DE LA ARAUCANIA,COLLIPULLI,375753,722608,725266,5794996,153
8351003,COLLIPULLI,9,DE LA ARAUCANIA,COLLIPULLI,375730,722532,726185,5795611,240
8353001,ERCILLA (VIDA NUEVA),9,DE LA ARAUCANIA,ERCILLA,380241,722737,722863,5786170,262
8356001,RIO REHUE EN QUEBRADA CULEN,9,DE LA ARAUCANIA,CURACAUTIN,375629,724821,692784,5798416,65
8358002,ANGOL (LA MONA),9,DE LA ARAUCANIA,ANGOL,374645,723814,708084,5816049,113
8358003,EL VERGEL (ANGOL),9,DE LA ARAUCANIA,ANGOL,374902,723900,706858,5811793,75
8358004,POCO A POCO,8,DEL BIOBIO,MULCHEN,375248,715912,237314,5803280,653
8358005,PARQUE NAHUELBUTA,9,DE LA ARAUCANIA,ANGOL,374924,725738,679490,5811837,1177
8359005,COIHUE,8,DEL BIOBIO,NEGRETE,373517,723529,712663,5837161,146
8364001,LAS ACHIRAS,8,DEL BIOBIO,LOS ANGELES,372249,722158,733204,5859695,144
8366002,ESTERO QUILQUE EN LOS ANGELES,8,DEL BIOBIO,LOS ANGELES,372721,721938,736403,5851178,144
8367001,LAJA,8,DEL BIOBIO,LAJA,371638,724259,702462,5871932,53
8370008,PICHACHEN,8,DEL BIOBIO,LAJA,373140,711255,304251,5844271,1485
8371002,LAGUNA DEL LAJA (CONAF),8,DEL BIOBIO,CABRERO,372341,712442,286516,5858608,1124
8375013,ALTO ANTUCO,8,DEL BIOBIO,ANTUCO,372036,714020,263286,5863689,689
8380001,RIO LAJA EN TUCAPEL,8,DEL BIOBIO,TUCAPEL,371709,715853,235685,5869259,295
8381003,RIO LAJA AG.ARR. DEL SALTO (REC.R.LAJA),8,DEL BIOBIO,LOS ANGELES,371246,721940,737112,5878166,140
8385010,MONTE AGUILA,8,DEL BIOBIO,CABRERO,370511,722629,727418,5892480,150
8390002,RERE,8,DEL BIOBIO,YUMBEL,370750,724344,701742,5888230,153
8391003,SANTA JUANA,8,DEL BIOBIO,SANTA JUANA,371055,725627,682789,5882958,57
8392002,JUNTA DE VECINOS HUINANCO,8,DEL BIOBIO,YUMBEL,365938,724347,702031,5903396,275
8393002,ESTERO HUALQUI EN DESEMBOCADURA,8,DEL BIOBIO,HUALQUI,365857,725628,683220,5905083,30
